rank,name,score
653,jusben1369,-2286.94
654,acdha,-2287.19
655,jedberg,-2291.98
656,sambeau,-2295.5
657,jarin,-2297.53
658,mattmaroon,-2299.54
659,tibbon,-2302.66
660,k__,-2303.35
661,dools,-2306.66
662,acqq,-2308.19
663,malkia,-2310.75
664,acangiano,-2313.47
665,trotsky,-2315.52
666,michael_dorfman,-2318.31
667,alex_c,-2322.05
668,x0x0,-2322.79
669,pbhjpbhj,-2328.03
670,yellowapple,-2330.05
671,gnosis,-2330.85
672,lotharbot,-2333.04
673,sciurus,-2334.23
674,qq66,-2334.83
675,apgwoz,-2335.51
676,brudgers,-2336.61
677,jey,-2338.74
678,VLM,-2341.15
679,carbocation,-2342.16
680,andrewcooke,-2342.95
681,Zev,-2345.91
682,Tyrannosaurs,-2347.47
683,steveklabnik,-2353.12
684,slantyyz,-2353.51
685,jules,-2354.25
686,danmaz74,-2365.92
687,pclark,-2366.0
688,cookiecaper,-2367.33
689,AznHisoka,-2368.91
690,abstractbill,-2369.41
691,jsz0,-2370.2
692,byrneseyeview,-2370.67
693,michaelneale,-2375.09
694,JoshTriplett,-2377.38
695,bad_user,-2378.71
696,swah,-2381.02
697,rdtsc,-2381.15
698,jff,-2381.68
699,bdcravens,-2381.84
700,hayksaakian,-2386.8
701,wpietri,-2391.86
702,AndrewDucker,-2395.58
703,TillE,-2397.74
704,StavrosK,-2399.36
705,frik,-2400.48
706,dbaupp,-2402.01
707,Keyframe,-2403.84
708,JumpCrisscross,-2404.03
709,vorg,-2406.32
710,grandalf,-2411.91
711,swombat,-2421.06
712,javajosh,-2422.07
713,pjscott,-2423.37
714,ww520,-2429.23
715,amichail,-2430.01
716,sjs,-2431.44
717,mgkimsal,-2435.51
718,mahmud,-2435.58
719,kayoone,-2438.41
720,zo1,-2449.25
721,logn,-2451.96
722,mattdeboard,-2455.41
723,derefr,-2458.86
724,jebblue,-2459.11
725,brc,-2464.13
726,ericb,-2475.03
727,nirvana,-2479.22
728,dasil003,-2481.1
729,ScottWhigham,-2482.19
730,zackattack,-2483.6
731,niels_olson,-2487.36
732,tripzilch,-2488.67
733,jnbiche,-2495.71
734,khafra,-2497.99
735,zobzu,-2499.73
736,vinceguidry,-2499.79
737,geuis,-2505.47
738,pbiggar,-2507.99
739,thaumaturgy,-2508.35
740,Groxx,-2510.85
741,GuiA,-2512.45
742,wccrawford,-2514.7
743,IgorPartola,-2515.07
744,beat,-2528.62
745,buro9,-2532.08
746,petervandijck,-2533.92
747,danieldk,-2545.13
748,gojomo,-2547.2
749,to3m,-2549.82
750,3pt14159,-2553.07
751,rtpg,-2558.18
752,phlux,-2559.63
753,natrius,-2563.19
754,twoodfin,-2566.6
755,xiaoma,-2568.45
756,magicalist,-2569.43
757,nawitus,-2573.51
758,rdl,-2574.06
759,froo,-2575.3
760,codezero,-2576.29
761,runjake,-2577.8
762,simonw,-2580.19
763,teyc,-2582.94
764,timr,-2583.2
765,jfarmer,-2590.13
766,joe_the_user,-2591.25
767,atmosx,-2592.2
768,josteink,-2593.71
769,lnanek2,-2597.48
770,stcredzero,-2599.33
771,gjm11,-2604.83
772,aaronblohowiak,-2610.73
773,melling,-2612.7
774,aston,-2624.52
775,TrevorJ,-2627.99
776,dman,-2628.44
777,bryanlarsen,-2637.32
778,ahoyhere,-2638.73
779,cstejerean,-2640.85
780,brlewis,-2641.48
781,mhartl,-2641.58
782,jacobolus,-2651.04
783,bayareaguy,-2655.64
784,palish,-2661.94
785,pasbesoin,-2665.69
786,callmeed,-2666.48
787,r00fus,-2670.67
788,ivankirigin,-2674.34
789,ericd,-2679.63
790,morgante,-2680.7
791,mechanical_fish,-2682.09
792,chimeracoder,-2690.39
793,kamaal,-2690.9
794,kenjackson,-2691.06
795,Argorak,-2691.7
796,Cushman,-2694.28
797,mturmon,-2704.94
798,lobster_johnson,-2705.08
799,zaidf,-2705.41
800,Goladus,-2710.33
801,mbreese,-2711.34
